             e              E          s         p       P         w         c      Q         o         h         l             v                  q              O              C          F          L        n
19  24hrTicker  1619517597158  WAVESUSDT    5.5583  37.963   18.9040   20.1997    0.8   14.6414   21.6175   14.5440    22459090.8     424566785.9700  1619431140000  1619517597154   44567394   45822347  1254931
18  24hrTicker  1619517596896    RLCUSDT    0.8177  34.971    2.8301    3.1559   62.5    2.3382    3.2873    2.3377    35217774.8      99668382.9400  1619431140000  1619517596890   26462338   26851452   389070
51  24hrTicker  1619517596276   DENTUSDT  0.003126  34.718  0.010631  0.012130    786  0.009004  0.012898  0.008907   37539647123   399077776.730000  1619431140000  1619517596271   21306243   22255608   949329
22  24hrTicker  1619517597167    TRBUSDT    23.507  33.215    87.355    94.280    2.5    70.773   100.741    68.549     1880563.6      164276216.650  1619431140000  1619517597164   33042350   33559966   517479
52  24hrTicker  1619517597132    HOTUSDT  0.003788  28.741  0.014606  0.016968   9297  0.013180  0.017471  0.012632   14056960520   205311656.100000  1619431140000  1619517597127   24144958   24724071   578988
29  24hrTicker  1619517596924    FTMUSDT  0.088382  23.280  0.419318  0.468022    373  0.379640  0.494178  0.375175     432456120   181336588.540000  1619431140000  1619517596919   40448695   40979278   530517
40  24hrTicker  1619517596747    AXSUSDT   1.56200  21.825   7.78820   8.71900      2   7.15700   9.11000   7.00900       9029176     70320993.29000  1619431140000  1619517596742   45001119   45272429   271307
3   24hrTicker  1619517597154    XRPUSDT    0.2177  18.462    1.3190    1.3969  100.0    1.1792    1.4640    1.1715  5483004917.3    7231946161.7800  1619431140000  1619517597149  344944142  349778204  4833990
46  24hrTicker  1619517597174   COTIUSDT   0.05316  17.335   0.32718   0.35982    246   0.30666   0.36910   0.29661     108551502     35515516.14000  1619431140000  1619517597170    9154367    9318042   163653
45  24hrTicker  1619517597079   DODOUSDT     0.502  16.840     3.209     3.483    3.0     2.981     3.516     2.974    19346055.4       62086497.530  1619431140000  1619517597075   11936083   12126167   190085
43  24hrTicker  1619517596917    CHZUSDT   0.07326  16.769   0.46761   0.51014    319   0.43688   0.51864   0.43262     728425434    340619755.26000  1619431140000  1619517596914   77124524   77888989   764440
33  24hrTicker  1619517596807    KSMUSDT    58.177  16.468   387.006   411.442    0.1   353.265   419.994   353.084      245810.9       95130244.160  1619431140000  1619517596803   27509362   27726803   217436
30  24hrTicker  1619517596692    HNTUSDT    2.2500  15.504   15.1324   16.7625      2   14.5125   16.7836   14.0296       1735623      26264117.5700  1619431140000  1619517596687   21565277   21689423   124145
37  24hrTicker  1619517597187  MATICUSDT   0.07339  14.165   0.54051   0.59150    255   0.51811   0.62386   0.47570    1236703230    668452563.13000  1619431140000  1619517597185   33761282   35320755  1559449
54  24hrTicker  1619517596869    BTTUSDT  0.000852  12.393  0.007167  0.007727  29779  0.006875  0.007865  0.006730   26877147936   192621664.180000  1619431140000  1619517596866   14520619   14909684   389051
24  24hrTicker  1619517597134    SRMUSDT    1.1774  11.970   10.1490   11.0138     27    9.8364   11.3877    8.8851      67086195     680857516.7800  1619431140000  1619517597129   33076021   34443955  1367713
11  24hrTicker  1619517596720   IOTAUSDT    0.2152  11.289    1.9936    2.1214    5.3    1.9062    2.1464    1.8725    58578307.9     116784224.1000  1619431140000  1619517596716   33986569   34326804   340230
26  24hrTicker  1619517596255    ICXUSDT    0.2097  11.021    1.9890    2.1125     19    1.9028    2.1369    1.8718      17808650      35422213.9400  1619431140000  1619517596252   18303030   18438107   135074
16  24hrTicker  1619517596800    SXPUSDT    0.3810  10.999    3.6192    3.8448    9.0    3.4638    3.8607    3.3705    95714642.0     346413698.3900  1619431140000  1619517596795  102049211  102844926   795715
28  24hrTicker  1619517597085    UNIUSDT    3.8637  10.760   37.7749   39.7719      1   35.9082   40.7000   34.8760      12749539     481612165.0300  1619431140000  1619517597080   92334722   92984886   650157
41  24hrTicker  1619517597073  ALPHAUSDT   0.13444  10.068   1.37231   1.46973     82   1.33529   1.47828   1.27385      45260510     62111559.75000  1619431140000  1619517597070   29687915   29870598   182666
38  24hrTicker  1619517596387    CVCUSDT   0.04726   9.922   0.51979   0.52357    186   0.47631   0.54500   0.47601      90060401     46812689.45000  1619431140000  1619517596382   20336167   20495726   159558
17  24hrTicker  1619517596917   BANDUSDT    1.4357   9.483   15.6100   16.5757   20.6   15.1400   17.0549   14.3291     3696712.7      57705725.5900  1619431140000  1619517596913   51133410   51341544   208130
27  24hrTicker  1619517596662  STORJUSDT    0.1679   9.305    1.9006    1.9724      5    1.8045    2.0214    1.7772      32801025      62342583.6500  1619431140000  1619517596658   35658480   35878165   219683
12  24hrTicker  1619517597028    VETUSDT  0.017247   9.170  0.191777  0.205330     59  0.188083  0.207279  0.179358    2006820152   384861134.580000  1619431140000  1619517597023   88640893   89469391   828492
49  24hrTicker  1619517596971   HBARUSDT   0.02378   8.546   0.28847   0.30203    981   0.27825   0.31290   0.27383     109096527     31470615.02000  1619431140000  1619517596966    5032276    5142706   110430
4   24hrTicker  1619517596867    EOSUSDT     0.468   8.509     5.733     5.968   59.0     5.500     6.050     5.485    86760074.9      497379368.730  1619431140000  1619517596863  145553477  146393318   839810
50  24hrTicker  1619517596750   LINAUSDT   0.00720   8.481   0.08821   0.09210   2430   0.08490   0.09444   0.08123     594692080     52459719.12000  1619431140000  1619517596747    6603644    6806707   203061
14  24hrTicker  1619517596692   COMPUSDT     52.65   8.435    651.34    676.80  0.295    624.15    689.76    611.51    194565.879       126728178.24  1619431140000  1619517596687   46325733   46631381   305644
31  24hrTicker  1619517596732    FLMUSDT    0.0582   7.977    0.7573    0.7878     61    0.7296    0.8131    0.7157      62201316      47107813.5800  1619431140000  1619517596728   24286848   24441899   155048
47  24hrTicker  1619517596552   MANAUSDT    0.0907   7.548    1.2389    1.2924    183    1.2017    1.3115    1.1725      29743367      36849899.1400  1619431140000  1619517596549    8411873    8537163   125291
36  24hrTicker  1619517596965    RSRUSDT  0.006115   7.419  0.082908  0.088541    113  0.082426  0.089106  0.078395    1205170953    99918011.750000  1619431140000  1619517596956   39444140   39777827   333489
44  24hrTicker  1619517596527   LUNAUSDT    1.2697   7.295   18.0924   18.6738    310   17.4041   19.5866   16.8363      11369517     205701739.9000  1619431140000  1619517596522   24075908   24420432   344523
7   24hrTicker  1619517597089    ADAUSDT   0.08379   6.899   1.23870   1.29830     15   1.21451   1.30000   1.19425     629842737    780188230.54000  1619431140000  1619517597085  186792436  187878790  1086171
9   24hrTicker  1619517597012    XTZUSDT     0.343   6.831     5.199     5.364   11.6     5.021     5.415     5.000    19858180.4      103246563.110  1619431140000  1619517597007   77502539   77756189   253651
32  24hrTicker  1619517596532    RENUSDT   0.05483   6.660   0.85133   0.87814      7   0.82331   0.89199   0.81108      44658050     38018566.07000  1619431140000  1619517596529   26459114   26608156   149042
20  24hrTicker  1619517596401    SNXUSDT     0.998   6.437    15.975    16.502    7.4    15.504    16.682    15.408     1767255.8       28231100.890  1619431140000  1619517596396   34058718   34204764   146045
42  24hrTicker  1619517596617    ZENUSDT     7.643   6.174   129.937   131.435   12.0   123.792   139.000   121.100      557449.1       72433156.870  1619431140000  1619517596613   19914929   20139775   224847
39  24hrTicker  1619517596917    BELUSDT   0.21578   5.978   3.67420   3.82553    270   3.60975   3.89000   3.47868      12997046     47753763.32000  1619431140000  1619517596913   17862906   18042339   179423
23  24hrTicker  1619517596638  SUSHIUSDT    0.6479   5.407   12.2299   12.6313      7   11.9834   12.9085   11.5112       9017154     110279291.1500  1619431140000  1619517596633   88354710   88691024   336315
8   24hrTicker  1619517596915   DASHUSDT     14.44   5.311    277.87    286.31  1.049    271.87    290.17    266.37    282669.408        78545052.58  1619431140000  1619517596906   44423762   44651995   228234
35  24hrTicker  1619517596661    FILUSDT     6.967   4.779   150.053   152.763    0.5   145.796   155.488   143.018     2245964.7      337013889.490  1619431140000  1619517596656   82875696   83344059   468360
5   24hrTicker  1619517597057    ETCUSDT     1.384   4.352    32.468    33.182  60.00    31.798    33.900    31.300    9210379.04      299045919.440  1619431140000  1619517597052   92477551   93050751   573201
21  24hrTicker  1619517596685    DOTUSDT     1.350   4.133    33.265    34.016    6.0    32.666    34.720    31.926    13084269.3      435242612.980  1619431140000  1619517596680  122684190  123369313   685115
15  24hrTicker  1619517596880   DOGEUSDT  0.010346   3.916  0.270082  0.274561    361  0.264215  0.280951  0.259061    4780795911  1291206855.860000  1619431140000  1619517596876  263163198  265457184  2293935
2   24hrTicker  1619517596651    BCHUSDT     31.35   3.793    841.82    857.98  0.145    826.63    873.03    815.29    504573.278       424757463.78  1619431140000  1619517596646  141653957  142201403   547427
13  24hrTicker  1619517596841  THETAUSDT    0.3812   3.431   10.9193   11.4916    2.2   11.1104   11.6659   10.2029    22765619.6     248585211.8500  1619431140000  1619517596837   72600216   73135603   535380
34  24hrTicker  1619517596704   NEARUSDT    0.1701   3.385    5.0025    5.1949      1    5.0248    5.2499    4.8000       8600866      43026150.3800  1619431140000  1619517596699   23682011   23855193   173177
53  24hrTicker  1619517597109    OGNUSDT    0.0593   3.214    1.7813    1.9046    197    1.8453    1.9453    1.6538      17140937      30532885.9200  1619431140000  1619517597104    5098193    5216988   118790
6   24hrTicker  1619517596980   LINKUSDT     1.104   3.160    34.954    36.040  13.87    34.936    36.488    33.443   12472963.10      435986167.250  1619431140000  1619517596976  224550197  225237083   686879
1   24hrTicker  1619517597154    ETHUSDT     63.14   2.546   2505.28   2543.21  0.006   2480.07   2568.00   2431.00   2654230.318      6649588260.68  1619431140000  1619517597149  492917811  495333261  2415394
10  24hrTicker  1619517597117    BNBUSDT    13.775   2.538   535.307   556.535   0.21   542.760   559.000   515.206    3819875.89     2044807280.140  1619431140000  1619517597111  226043001  227902342  1859275
0   24hrTicker  1619517596952    BTCUSDT   1123.89   2.107  53740.07  54476.05  0.040  53352.16  54999.00  52600.00    289722.009     15569680974.85  1619431140000  1619517596949  732778260  735878518  3100226
48  24hrTicker  1619517596756  ALICEUSDT     0.187   2.074     9.016     9.202   15.0     9.015     9.519     8.444     6945730.2       62621894.000  1619431140000  1619517596751    9919959   10137607   217632
25  24hrTicker  1619517596248    SOLUSDT   -1.7073  -3.605   45.6082   45.6542     17   47.3615   47.8780   43.3079      11192897     510488019.4200  1619431140000  1619517596244   40602294   41242698   640390
